trade_date,symbol,predicted_tier,trigger_tier,trigger_minute,fill_minute,trigger_ts,fill_ts,entry_price,fill_price,sell_quantity,sell_notional,commission,stamp_tax,slippage,total_cost,pnl_after_cost
20260126,688066,reversal_watch,severe_override_positive,47,48,2026/01/26 10:16,2026/01/26 10:17,41.99,38.5,1200,46200.0,13.86,46.2,23.1,83.16,-4271.16
20260126,688523,reversal_watch,reversal_watch,4,5,2026/01/26 09:33,2026/01/26 09:34,71.0,66.81,700,46767.0,14.0301,46.767,23.3835,84.1806,-3017.1806
20260126,688523,reversal_watch,severe_override_positive,59,60,2026/01/26 10:28,2026/01/26 10:29,71.0,65.02,700,45514.0,13.6542,45.514,22.757,81.9252,-4267.9252
20260128,300342,reversal_watch,reversal_watch,21,22,2026/01/28 09:50,2026/01/28 09:51,57.1,54.28,800,43424.0,13.0272,43.424,21.712,78.1632,-2334.1632
20260303,300342,severe_override_positive,reversal_watch,11,12,2026/03/03 09:40,2026/03/03 09:41,46.3,43.92,1000,43920.0,13.176,43.92,21.96,79.056,-2459.056
20260303,300342,severe_override_positive,severe_override_positive,50,51,2026/03/03 10:19,2026/03/03 10:20,46.3,42.52,1100,46772.0,14.0316,46.772,23.386,84.1896,-4242.1896
20260303,601698,severe_override_positive,reversal_watch,14,15,2026/03/03 09:43,2026/03/03 09:44,39.65,37.62,1200,45144.0,13.5432,45.144,22.572,81.2592,-2517.2592
20260303,601698,severe_override_positive,severe_override_positive,219,220,2026/03/03 14:38,2026/03/03 14:39,39.65,36.39,1300,47307.0,14.1921,47.307,23.6535,85.1526,-4323.1526
20260401,300342,mild_override_watch,reversal_watch,61,62,2026/04/01 10:30,2026/04/01 10:31,52.08,49.22,900,44298.0,13.2894,44.298,22.149,79.7364,-2653.7364
20260401,688523,mild_override_watch,reversal_watch,26,27,2026/04/01 09:55,2026/04/01 09:56,65.85,62.5,700,43750.0,13.125,43.75,21.875,78.75,-2423.75
20260403,688066,reversal_watch,reversal_watch,18,19,2026/04/03 09:47,2026/04/03 09:48,18.22,17.28,2700,46656.0,13.9968,46.656,23.328,83.9808,-2621.9808
