signal_trade_date,execution_trade_date,symbol,action,supervision_label,target_tier,predicted_tier,matched,open_to_close_return,ret15,ret30,ret60,draw60,close_loc15,close_loc60
20251118,20251119,600879,open,clean_control,none,unmatched,True,-0.00371058,-0.00278293,-0.00463822,-0.01113173,-0.01298701,0.2,0.13333333
20251118,20251119,601698,open,clean_control,none,unmatched,True,-0.00430622,0.00143541,-0.00430622,-0.00717703,-0.00909091,0.68421053,0.14285714
20251118,20251119,600118,open,ambiguous_non_override,none,unmatched,True,-0.01390221,-0.00023969,-0.01174497,-0.01581975,-0.01677852,0.57894737,0.04705882
20251119,20251120,300342,add,clean_control,none,unmatched,True,0.00215169,-0.00753093,0.00322754,0.00430339,-0.01022055,0.17857143,0.6
20251119,20251120,601698,add,ambiguous_non_override,none,unmatched,True,-0.00813787,-0.00526568,0.0004787,-0.0009574,-0.00718047,0.18181818,0.56521739
20251119,20251120,600879,add,ambiguous_non_override,none,unmatched,True,-0.00278552,-0.00278552,0.0,0.00464253,-0.00649954,0.5,0.63157895
20251119,20251120,002465,open,clean_control,none,unmatched,True,0.00342173,0.00085543,0.00427716,0.00427716,-0.00342173,0.71428571,0.5625
20251119,20251120,002085,open,ambiguous_non_override,none,unmatched,True,-0.02583491,-0.0063012,-0.01071204,-0.01638311,-0.01701323,0.33333333,0.03448276
20251120,20251121,002465,add,ambiguous_non_override,none,unmatched,True,-0.02832618,-0.00772532,-0.02317597,-0.03090129,-0.03347639,0.07692308,0.07142857
20251120,20251121,002085,add,clean_control,none,unmatched,True,-0.00196335,0.0026178,-0.00458115,-0.0065445,-0.00719895,0.40909091,0.03571429
20251120,20251121,600118,add,ambiguous_non_override,none,unmatched,True,-0.01458952,-0.00717112,-0.01582591,-0.01285856,-0.01780415,0.08536585,0.16949153
20251127,20251128,688523,add,clean_control,none,unmatched,True,0.17407407,0.06419753,0.0941358,0.08580247,-0.02160494,0.84242424,0.72803347
20251128,20251201,688568,open,ambiguous_non_override,none,unmatched,True,0.00888383,0.02300683,0.04031891,0.01252847,0.0,0.69178082,0.26699029
20251201,20251202,688568,add,clean_control,none,unmatched,True,0.02522154,0.01226994,0.00886162,0.01454215,-0.01249716,0.88617886,0.79333333
20251203,20251204,688066,open,clean_control,none,unmatched,True,0.02266082,-0.0003655,0.00804094,0.0372807,-0.01827485,0.50515464,0.94409938
20251203,20251204,300342,add,clean_control,none,unmatched,True,0.04918033,0.00922131,0.03227459,0.06147541,-0.00102459,0.33898305,0.83561644
20251203,20251204,000738,open,clean_control,none,unmatched,True,0.01133297,0.00377766,0.00917431,0.0156503,0.0,0.46666667,0.725
20251204,20251205,600879,open,clean_control,none,unmatched,True,0.05661948,0.00999167,0.02414654,0.01332223,-0.00499584,0.75,0.5
20251204,20251205,688066,add,clean_control,none,unmatched,True,0.06909091,0.012,0.044,0.03163636,-0.00836364,0.72727273,0.68322981
20251204,20251205,300342,add,clean_control,none,unmatched,True,0.00960615,-0.00576369,-0.00384246,-0.01777137,-0.02737752,0.72580645,0.31746032
20251204,20251205,601698,open,clean_control,none,unmatched,True,0.03098592,0.00422535,0.01314554,0.01643192,-0.00704225,0.64864865,0.76923077
20251205,20251208,002465,open,ambiguous_non_override,none,unmatched,True,-0.00233645,0.00778816,0.00311526,0.00856698,-0.00934579,0.95652174,0.82142857
20251205,20251208,600879,add,clean_control,none,unmatched,True,0.03472222,0.03395062,0.04552469,0.05401235,-0.01234568,0.92307692,0.74137931
20251205,20251208,003009,open,mismatch_watch,none,unmatched,True,-0.03640625,0.004375,-0.003125,0.00703125,-0.0171875,0.83636364,0.61752988
20251205,20251208,688523,add,mismatch_watch,none,unmatched,True,-0.03082192,0.0152968,0.03424658,0.0,-0.03424658,0.99541284,0.375
20251205,20251208,601698,add,ambiguous_non_override,none,unmatched,True,-0.00179372,0.01928251,0.02466368,0.02197309,-0.00269058,0.90740741,0.73333333
20251208,20251209,300045,open,clean_control,none,unmatched,True,0.02420701,0.02170284,0.0187813,0.0033389,-0.00626043,0.85897436,0.29113924
20251208,20251209,600118,open,clean_control,none,unmatched,True,0.00682523,0.01716649,0.00496381,-0.00496381,-0.00930714,0.68595041,0.12650602
20251209,20251210,002465,add,clean_control,none,unmatched,True,0.01392111,-0.00386698,0.00232019,0.00386698,-0.00773395,0.26315789,0.78947368
20251209,20251210,600879,add,clean_control,none,unmatched,True,0.03435115,0.00839695,0.04961832,0.03358779,0.0,0.28205128,0.64705882
20251210,20251211,300342,add,clean_control,none,unmatched,True,0.02722881,0.01493193,0.00043917,0.0153711,-0.01932367,0.93975904,0.84946237
20251215,20251216,688568,open,ambiguous_non_override,none,unmatched,True,-0.04163145,-0.03000845,-0.03846154,-0.03761623,-0.04691462,0.36036036,0.1981982
20251216,20251217,688066,add,ambiguous_non_override,mild_override_watch,mild_override_watch,True,-0.04148629,-0.00829726,-0.04040404,-0.0494228,-0.0515873,0.1372549,0.02884615
20251217,20251218,000738,open,clean_control,none,unmatched,True,0.03376623,0.00727273,0.00831169,0.0161039,-0.00155844,0.56666667,0.89473684
20251218,20251219,000738,add,clean_control,none,unmatched,True,0.05580923,0.02739726,0.0304414,0.02232369,0.0,0.93103448,0.63768116
20251218,20251219,002085,open,clean_control,none,unmatched,True,0.02412869,0.01675603,0.02479893,0.0227882,0.0,0.96153846,0.87179487
20251219,20251222,002085,add,clean_control,none,unmatched,True,0.01434159,0.0136897,0.00912647,0.0071708,0.0,1.0,0.52380952
20260112,20260113,000738,open,reversal_watch,reversal_watch,reversal_watch,True,-0.07829615,-0.06774848,-0.07342799,-0.06815416,-0.0831643,0.01764706,0.1804878
20260112,20260113,601698,add,override_positive,severe_override_positive,severe_override_positive,True,-0.09987006,-0.09987006,-0.09987006,-0.09987006,-0.09987006,0.0,0.0
20260123,20260126,000738,open,ambiguous_non_override,none,unmatched,True,-0.03778135,0.00884244,-0.01245981,-0.02170418,-0.02451768,0.7979798,0.06796117
20260123,20260126,300045,add,reversal_watch,reversal_watch,reversal_watch,True,-0.07320219,-0.00032248,-0.02837794,-0.05095131,-0.05191874,0.78350515,0.01657459
20260123,20260126,300342,add,override_positive,severe_override_positive,severe_override_positive,True,-0.09,0.00666667,-0.015,-0.049,-0.04966667,0.85714286,0.01
20260123,20260126,601698,add,ambiguous_non_override,none,unmatched,True,-0.04425,-0.00375,-0.00875,-0.02775,-0.038,0.44174757,0.16269841
