trade_date,symbol,start_of_day_quantity,eligible_intraday_sell_quantity,same_day_open_quantity,same_day_add_quantity,same_day_new_lots_quantity,same_day_reduce_quantity,same_day_close_quantity,end_of_day_quantity_without_intraday,has_same_day_primary_action
20251124,688523,400,400,0,0,0,200,0,200,True
20251124,688568,200,200,0,0,0,100,0,100,True
20251125,000738,300,300,0,0,0,100,0,200,True
20251125,002085,1300,1300,0,0,0,600,0,700,True
20251125,002465,1700,1700,0,0,0,800,0,900,True
20251125,003009,100,100,0,0,0,0,100,0,True
20251125,300045,200,200,0,0,0,100,0,100,True
20251125,300342,1100,1100,0,0,0,500,0,600,True
20251125,600118,500,500,0,0,0,200,0,300,True
20251125,600879,1000,1000,0,0,0,500,0,500,True
20251125,601698,500,500,0,0,0,200,0,300,True
20251125,688066,100,100,0,0,0,0,100,0,True
20251125,688523,200,200,0,0,0,0,0,200,False
20251125,688568,100,100,0,0,0,0,100,0,True
20251126,000738,200,200,0,0,0,100,0,100,True
20251126,002085,700,700,0,0,0,300,0,400,True
20251126,002465,900,900,0,0,0,400,0,500,True
20251126,300045,100,100,0,0,0,0,100,0,True
20251126,300342,600,600,0,0,0,300,0,300,True
20251126,600118,300,300,0,0,0,100,0,200,True
20251126,600879,500,500,0,0,0,200,0,300,True
20251126,601698,300,300,0,0,0,100,0,200,True
20251126,688523,200,200,0,0,0,0,0,200,False
20251127,000738,100,100,0,0,0,0,100,0,True
20251127,002085,400,400,0,0,0,200,0,200,True
20251127,002465,500,500,0,0,0,200,0,300,True
20251127,300342,300,300,0,0,0,100,0,200,True
20251127,600118,200,200,0,0,0,0,0,200,False
20251127,600879,300,300,0,0,0,100,0,200,True
20251127,601698,200,200,0,0,0,100,0,100,True
20251127,688523,200,200,0,0,0,0,0,200,False
20251128,002085,200,200,0,0,0,100,0,100,True
20251128,002465,300,300,0,0,0,100,0,200,True
20251128,300342,200,200,0,0,0,100,0,100,True
20251128,600118,200,200,0,0,0,100,0,100,True
20251128,600879,200,200,0,0,0,100,0,100,True
20251128,601698,100,100,0,0,0,0,100,0,True
20251128,688523,200,200,0,1100,1100,100,0,1200,True
20251201,002085,100,100,0,0,0,0,100,0,True
20251201,002465,200,200,0,0,0,100,0,100,True
20251201,300342,100,100,0,0,0,0,0,100,False
20251201,600118,100,100,0,0,0,0,100,0,True
20251201,600879,100,100,0,0,0,0,100,0,True
20251201,688523,1200,1200,0,0,0,0,0,1200,False
20251201,688568,0,0,900,0,900,0,0,900,True
20251202,002465,100,100,0,0,0,0,100,0,True
20251202,300342,100,100,0,0,0,0,0,100,False
20251202,688523,1200,1200,0,0,0,0,0,1200,False
20251202,688568,900,900,0,400,400,400,0,900,True
20251203,300342,100,100,0,0,0,0,0,100,False
20251203,688523,1200,1200,0,0,0,0,0,1200,False
20251203,688568,900,900,0,0,0,400,0,500,True
20251204,000738,0,0,2100,0,2100,0,0,2100,True
20251204,300342,100,100,0,1900,1900,0,0,2000,True
20251204,688066,0,0,1400,0,1400,0,0,1400,True
20251204,688523,1200,1200,0,0,0,0,0,1200,False
20251204,688568,500,500,0,0,0,0,0,500,False
