action_context,action_favored_3d,board_phase,coarse_label,control_label,d15_60_close_vs_vwap,d15_60_close_vs_vwap_rz,d15_60_failed_push_proxy,d15_60_last_bar_lower_shadow_ratio,d15_60_last_bar_lower_shadow_ratio_rz,d15_60_last_bar_return,d15_60_last_bar_return_rz,d15_60_last_bar_upper_shadow_ratio,d15_60_last_bar_upper_shadow_ratio_rz,d15_60_last_bar_volume_share,d15_60_last_bar_volume_share_rz,d15_60_lower_shadow_ratio,d15_60_lower_shadow_ratio_rz,d15_60_upper_shadow_ratio,d15_60_upper_shadow_ratio_rz,d5_30_close_vs_vwap,d5_30_close_vs_vwap_rz,d5_30_last_bar_lower_shadow_ratio,d5_30_last_bar_lower_shadow_ratio_rz,d5_30_last_bar_return,d5_30_last_bar_return_rz,d5_30_last_bar_upper_shadow_ratio,d5_30_last_bar_upper_shadow_ratio_rz,d5_30_last_bar_volume_share,d5_30_last_bar_volume_share_rz,d5_30_lower_shadow_ratio,d5_30_lower_shadow_ratio_rz,d5_30_upper_shadow_ratio,d5_30_upper_shadow_ratio_rz,execution_trade_date,expectancy_proxy_3d,f30_afternoon_volume_share,f30_afternoon_volume_share_rz,f30_body_ratio,f30_body_ratio_rz,f30_breakout_efficiency,f30_breakout_efficiency_rz,f30_close_location,f30_close_location_rz,f30_close_vs_vwap,f30_close_vs_vwap_rz,f30_failed_push_proxy,f30_high_time_ratio,f30_high_time_ratio_rz,f30_last_bar_lower_shadow_ratio,f30_last_bar_lower_shadow_ratio_rz,f30_last_bar_return,f30_last_bar_return_rz,f30_last_bar_upper_shadow_ratio,f30_last_bar_upper_shadow_ratio_rz,f30_last_bar_volume_share,f30_last_bar_volume_share_rz,f30_lower_shadow_ratio,f30_lower_shadow_ratio_rz,f30_pullback_from_high,f30_pullback_from_high_rz,f30_upper_shadow_ratio,f30_upper_shadow_ratio_rz,f60_afternoon_volume_share,f60_afternoon_volume_share_rz,f60_body_ratio,f60_body_ratio_rz,f60_breakout_efficiency,f60_breakout_efficiency_rz,f60_close_location,f60_close_location_rz,f60_close_vs_vwap,f60_close_vs_vwap_rz,f60_failed_push_proxy,f60_high_time_ratio,f60_high_time_ratio_rz,f60_last_bar_lower_shadow_ratio,f60_last_bar_lower_shadow_ratio_rz,f60_last_bar_return,f60_last_bar_return_rz,f60_last_bar_upper_shadow_ratio,f60_last_bar_upper_shadow_ratio_rz,f60_last_bar_volume_share,f60_last_bar_volume_share_rz,f60_lower_shadow_ratio,f60_lower_shadow_ratio_rz,f60_pullback_from_high,f60_pullback_from_high_rz,f60_upper_shadow_ratio,f60_upper_shadow_ratio_rz,forward_close_return_3d,is_expanded_window_rebuild,max_adverse_return_3d,max_favorable_return_3d,pc1_band,pc1_score,pc2_band,pc2_score,pc3_score,role_family,row_weight,signal_trade_date,split_group,state_band,symbol,under_exposure_gap
reduce_vs_hold,True,divergence_and_decay,decrease_expression,de_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-19,-0.082205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018182,,-0.073501,0.018956,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.802083,2023-12-18,train,pc1_mid__pc2_mid,300502,
reduce_vs_hold,True,divergence_and_decay,decrease_expression,de_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-20,-0.054947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024823,,-0.050883,0.041519,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.802083,2023-12-19,train,pc1_mid__pc2_mid,300308,
reduce_vs_hold,True,divergence_and_decay,decrease_expression,de_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-20,-0.100546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047201,,-0.06573,0.024771,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.802083,2023-12-19,train,pc1_mid__pc2_mid,300502,
reduce_vs_hold,False,divergence_and_decay,hold_or_skip,de_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-21,0.065752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028094,,-0.007116,0.089548,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.586667,2023-12-20,train,pc1_mid__pc2_mid,300308,
reduce_vs_hold,False,divergence_and_decay,hold_or_skip,de_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-21,0.023265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009592,,-0.022449,0.072245,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.586667,2023-12-20,train,pc1_mid__pc2_mid,300502,
reduce_vs_hold,True,divergence_and_decay,decrease_expression,de_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-25,-0.075556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03582,,-0.0495,0.01953,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.802083,2023-12-22,train,pc1_mid__pc2_mid,300308,
reduce_vs_hold,True,divergence_and_decay,decrease_expression,de_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-25,-0.073322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040995,,-0.046094,0.027534,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.802083,2023-12-22,train,pc1_mid__pc2_mid,300502,
reduce_vs_hold,False,divergence_and_decay,hold_or_skip,de_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-27,0.077384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049545,,-0.010969,0.077617,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.586667,2023-12-26,train,pc1_mid__pc2_mid,300308,
reduce_vs_hold,False,divergence_and_decay,hold_or_skip,de_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-27,0.031942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029645,,-0.028601,0.061795,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.586667,2023-12-26,train,pc1_mid__pc2_mid,300502,
close_vs_hold,True,divergence_and_decay,decrease_expression,holding_veto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-03,-0.170012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.083219,,-0.090826,0.008065,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.802083,2024-01-02,train,pc1_mid__pc2_mid,300308,
reduce_vs_hold,True,divergence_and_decay,decrease_expression,de_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-03,-0.118421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058526,,-0.064421,0.009053,mid,90926441.734989,mid,5132338.591902,-2514003.088831,repaired_negative_window,0.802083,2024-01-02,train,pc1_mid__pc2_mid,300502,
